seed,hidden,nparam,session,budget_frames,calib_seconds,ref_raw_r2
2,32,4130,ses-2020-11-19-Run1,1600,32.0,0.09482376803644002
2,32,4130,ses-2020-11-19-Run1,3200,48.7,0.09682146359700709
2,32,4130,ses-2020-11-19-Run1,1000000000,48.7,0.09682146359700709
2,32,4130,ses-2020-11-24-Run1,200,4.0,0.06388199925422669
2,32,4130,ses-2020-11-24-Run1,400,8.0,0.11630757451057434
2,32,4130,ses-2020-11-24-Run1,800,16.0,0.13368234932422637
2,32,4130,ses-2020-11-24-Run1,1600,32.0,0.1354692593216896
2,32,4130,ses-2020-11-24-Run1,3200,35.4,0.13442294299602509
2,32,4130,ses-2020-11-24-Run1,1000000000,35.4,0.13442294299602509
2,32,4130,ses-2020-11-24-Run2,200,4.0,0.009677338972687721
2,32,4130,ses-2020-11-24-Run2,400,8.0,0.02228123228996992
2,32,4130,ses-2020-11-24-Run2,800,16.0,0.02572558006795589
2,32,4130,ses-2020-11-24-Run2,1600,32.0,0.025175066851079463
2,32,4130,ses-2020-11-24-Run2,3200,37.6,0.02265350131201558
2,32,4130,ses-2020-11-24-Run2,1000000000,37.6,0.02265350131201558
3,32,4130,ses-2020-10-30-Run1,200,4.0,0.39699469804763793
3,32,4130,ses-2020-10-30-Run1,400,8.0,0.3873405992984772
3,32,4130,ses-2020-10-30-Run1,800,16.0,0.391660338640213
3,32,4130,ses-2020-10-30-Run1,1600,32.0,0.3917886227369308
3,32,4130,ses-2020-10-30-Run1,3200,43.6,0.39157562851905825
3,32,4130,ses-2020-10-30-Run1,1000000000,43.6,0.39157562851905825
3,32,4130,ses-2020-10-30-Run2,200,4.0,0.35414772629737856
3,32,4130,ses-2020-10-30-Run2,400,8.0,0.3445279449224472
3,32,4130,ses-2020-10-30-Run2,800,16.0,0.34575591385364535
3,32,4130,ses-2020-10-30-Run2,1600,32.0,0.3522114366292953
3,32,4130,ses-2020-10-30-Run2,3200,40.8,0.35259219706058503
3,32,4130,ses-2020-10-30-Run2,1000000000,40.8,0.35259219706058503
3,32,4130,ses-2020-11-18-Run1,200,4.0,0.13904740810394287
3,32,4130,ses-2020-11-18-Run1,400,8.0,0.18143999576568604
3,32,4130,ses-2020-11-18-Run1,800,16.0,0.1855262905359268
3,32,4130,ses-2020-11-18-Run1,1600,32.0,0.17725132405757904
3,32,4130,ses-2020-11-18-Run1,3200,40.3,0.18117445707321167
3,32,4130,ses-2020-11-18-Run1,1000000000,40.3,0.18117445707321167
3,32,4130,ses-2020-11-19-Run1,200,4.0,0.09849072247743607
3,32,4130,ses-2020-11-19-Run1,400,8.0,0.13238425627350808
3,32,4130,ses-2020-11-19-Run1,800,16.0,0.12356137931346893
3,32,4130,ses-2020-11-19-Run1,1600,32.0,0.1230132918804884
3,32,4130,ses-2020-11-19-Run1,3200,48.7,0.12517725117504597
3,32,4130,ses-2020-11-19-Run1,1000000000,48.7,0.12517725117504597
3,32,4130,ses-2020-11-24-Run1,200,4.0,0.024603719264268874
3,32,4130,ses-2020-11-24-Run1,400,8.0,0.06655488610267639
3,32,4130,ses-2020-11-24-Run1,800,16.0,0.08174462914466858
3,32,4130,ses-2020-11-24-Run1,1600,32.0,0.08735146671533585
3,32,4130,ses-2020-11-24-Run1,3200,35.4,0.0866383209824562
3,32,4130,ses-2020-11-24-Run1,1000000000,35.4,0.0866383209824562
3,32,4130,ses-2020-11-24-Run2,200,4.0,-0.005307599157094956
3,32,4130,ses-2020-11-24-Run2,400,8.0,0.02339266687631607
3,32,4130,ses-2020-11-24-Run2,800,16.0,0.021220751106739044
3,32,4130,ses-2020-11-24-Run2,1600,32.0,0.023395827412605284
3,32,4130,ses-2020-11-24-Run2,3200,37.6,0.021072188019752504
3,32,4130,ses-2020-11-24-Run2,1000000000,37.6,0.021072188019752504
1,64,7298,ses-2020-10-30-Run1,200,4.0,0.3679259181022644
1,64,7298,ses-2020-10-30-Run1,400,8.0,0.3761323779821396
1,64,7298,ses-2020-10-30-Run1,800,16.0,0.3621539115905762
1,64,7298,ses-2020-10-30-Run1,1600,32.0,0.3664358377456665
1,64,7298,ses-2020-10-30-Run1,3200,43.6,0.36552121341228483
1,64,7298,ses-2020-10-30-Run1,1000000000,43.6,0.36552121341228483
1,64,7298,ses-2020-10-30-Run2,200,4.0,0.18684438169002532
1,64,7298,ses-2020-10-30-Run2,400,8.0,0.2076082369312644
1,64,7298,ses-2020-10-30-Run2,800,16.0,0.20471366494894028
1,64,7298,ses-2020-10-30-Run2,1600,32.0,0.2089857766404748
1,64,7298,ses-2020-10-30-Run2,3200,40.8,0.21025500539690256
1,64,7298,ses-2020-10-30-Run2,1000000000,40.8,0.21025500539690256
1,64,7298,ses-2020-11-18-Run1,200,4.0,0.08909862041473389
1,64,7298,ses-2020-11-18-Run1,400,8.0,0.1473969429731369
1,64,7298,ses-2020-11-18-Run1,800,16.0,0.14872294366359712
1,64,7298,ses-2020-11-18-Run1,1600,32.0,0.1383342608809471
1,64,7298,ses-2020-11-18-Run1,3200,40.3,0.14423745572566987
1,64,7298,ses-2020-11-18-Run1,1000000000,40.3,0.14423745572566987
1,64,7298,ses-2020-11-19-Run1,200,4.0,0.008141358196735383
1,64,7298,ses-2020-11-19-Run1,400,8.0,0.030766862630844116
1,64,7298,ses-2020-11-19-Run1,800,16.0,0.030279897898435593
1,64,7298,ses-2020-11-19-Run1,1600,32.0,0.03044605255126953
1,64,7298,ses-2020-11-19-Run1,3200,48.7,0.034509208798408506
1,64,7298,ses-2020-11-19-Run1,1000000000,48.7,0.034509208798408506
1,64,7298,ses-2020-11-24-Run1,200,4.0,-0.11120500862598419
1,64,7298,ses-2020-11-24-Run1,400,8.0,-0.04599389135837555
1,64,7298,ses-2020-11-24-Run1,800,16.0,-0.028424474596977233
1,64,7298,ses-2020-11-24-Run1,1600,32.0,-0.021105577051639558
1,64,7298,ses-2020-11-24-Run1,3200,35.4,-0.022054733335971834
1,64,7298,ses-2020-11-24-Run1,1000000000,35.4,-0.022054733335971834
1,64,7298,ses-2020-11-24-Run2,200,4.0,-0.06620967835187912
1,64,7298,ses-2020-11-24-Run2,400,8.0,-0.03724962007254362
1,64,7298,ses-2020-11-24-Run2,800,16.0,-0.026309839636087417
1,64,7298,ses-2020-11-24-Run2,1600,32.0,-0.02315295236185193
1,64,7298,ses-2020-11-24-Run2,3200,37.6,-0.026455792580964043
1,64,7298,ses-2020-11-24-Run2,1000000000,37.6,-0.026455792580964043
2,64,7298,ses-2020-10-30-Run1,200,4.0,0.3729220271110535
2,64,7298,ses-2020-10-30-Run1,400,8.0,0.3742660343647003
2,64,7298,ses-2020-10-30-Run1,800,16.0,0.36989136040210724
2,64,7298,ses-2020-10-30-Run1,1600,32.0,0.3723840773105621
2,64,7298,ses-2020-10-30-Run1,3200,43.6,0.3720081001520157
2,64,7298,ses-2020-10-30-Run1,1000000000,43.6,0.3720081001520157
2,64,7298,ses-2020-10-30-Run2,200,4.0,0.2787178732454777
2,64,7298,ses-2020-10-30-Run2,400,8.0,0.28468445725739
2,64,7298,ses-2020-10-30-Run2,800,16.0,0.2774241557344794
2,64,7298,ses-2020-10-30-Run2,1600,32.0,0.2794409290887415
2,64,7298,ses-2020-10-30-Run2,3200,40.8,0.28393160477280616
2,64,7298,ses-2020-10-30-Run2,1000000000,40.8,0.28393160477280616
2,64,7298,ses-2020-11-18-Run1,200,4.0,0.20352472066879274
2,64,7298,ses-2020-11-18-Run1,400,8.0,0.2278228908777237
2,64,7298,ses-2020-11-18-Run1,800,16.0,0.24455344676971436
