config,seed,nparam,session,budget_frames,ref_raw_r2
glu,3,7234,ses-2020-10-30-Run2,3200,0.2586162582039833
glu,3,7234,ses-2020-10-30-Run2,1000000000,0.2586162582039833
glu,3,7234,ses-2020-11-18-Run1,200,0.20511728823184966
glu,3,7234,ses-2020-11-18-Run1,400,0.15858753621578217
glu,3,7234,ses-2020-11-18-Run1,800,0.21530277729034425
glu,3,7234,ses-2020-11-18-Run1,1600,0.21348946988582612
glu,3,7234,ses-2020-11-18-Run1,3200,0.21459368467330933
glu,3,7234,ses-2020-11-18-Run1,1000000000,0.21459368467330933
glu,3,7234,ses-2020-11-19-Run1,200,0.054203453660011294
glu,3,7234,ses-2020-11-19-Run1,400,0.06689823754131793
glu,3,7234,ses-2020-11-19-Run1,800,0.04863242357969284
glu,3,7234,ses-2020-11-19-Run1,1600,0.05115821100771427
glu,3,7234,ses-2020-11-19-Run1,3200,0.05472240764647722
glu,3,7234,ses-2020-11-19-Run1,1000000000,0.05472240764647722
glu,3,7234,ses-2020-11-24-Run1,200,0.08212973177433014
glu,3,7234,ses-2020-11-24-Run1,400,0.08071615695953369
glu,3,7234,ses-2020-11-24-Run1,800,0.10623217225074769
glu,3,7234,ses-2020-11-24-Run1,1600,0.10945835411548614
glu,3,7234,ses-2020-11-24-Run1,3200,0.11136670708656311
glu,3,7234,ses-2020-11-24-Run1,1000000000,0.11136670708656311
glu,3,7234,ses-2020-11-24-Run2,200,0.002631085366010666
glu,3,7234,ses-2020-11-24-Run2,400,-0.03565542940050363
glu,3,7234,ses-2020-11-24-Run2,800,-0.020595622435212135
glu,3,7234,ses-2020-11-24-Run2,1600,-0.03275140784680843
glu,3,7234,ses-2020-11-24-Run2,3200,-0.033913249522447585
glu,3,7234,ses-2020-11-24-Run2,1000000000,-0.033913249522447585
grouped_se,1,7757,ses-2020-10-30-Run1,200,0.38199211061000826
grouped_se,1,7757,ses-2020-10-30-Run1,400,0.36900087893009187
grouped_se,1,7757,ses-2020-10-30-Run1,800,0.37765431106090547
grouped_se,1,7757,ses-2020-10-30-Run1,1600,0.3759303897619247
grouped_se,1,7757,ses-2020-10-30-Run1,3200,0.3766755074262619
grouped_se,1,7757,ses-2020-10-30-Run1,1000000000,0.3766755074262619
grouped_se,1,7757,ses-2020-10-30-Run2,200,0.32356276512146
grouped_se,1,7757,ses-2020-10-30-Run2,400,0.33212229907512664
grouped_se,1,7757,ses-2020-10-30-Run2,800,0.3344107925891876
grouped_se,1,7757,ses-2020-10-30-Run2,1600,0.3304654985666275
grouped_se,1,7757,ses-2020-10-30-Run2,3200,0.3317332208156586
grouped_se,1,7757,ses-2020-10-30-Run2,1000000000,0.3317332208156586
grouped_se,1,7757,ses-2020-11-18-Run1,200,0.10270943194627762
grouped_se,1,7757,ses-2020-11-18-Run1,400,0.08165596947073936
grouped_se,1,7757,ses-2020-11-18-Run1,800,0.1220140092074871
