config,seed,nparam,session,budget_frames,calib_seconds,ref_raw_r2
se,2,6542,ses-2020-10-30-Run2,200,4.0,0.3221931755542755
se,2,6542,ses-2020-10-30-Run2,400,8.0,0.33793098032474517
se,2,6542,ses-2020-10-30-Run2,800,16.0,0.3300282162264921
se,2,6542,ses-2020-10-30-Run2,1600,32.0,0.33744724383577707
se,2,6542,ses-2020-10-30-Run2,3200,40.8,0.33698029108345506
se,2,6542,ses-2020-10-30-Run2,1000000000,40.8,0.33698029108345506
se,2,6542,ses-2020-11-18-Run1,200,4.0,0.21571455895900726
se,2,6542,ses-2020-11-18-Run1,400,8.0,0.20766091495752334
se,2,6542,ses-2020-11-18-Run1,800,16.0,0.2014201819896698
se,2,6542,ses-2020-11-18-Run1,1600,32.0,0.20684637129306793
se,2,6542,ses-2020-11-18-Run1,3200,40.3,0.20812655091285706
se,2,6542,ses-2020-11-18-Run1,1000000000,40.3,0.20812655091285706
se,2,6542,ses-2020-11-19-Run1,200,4.0,0.06804037988185882
se,2,6542,ses-2020-11-19-Run1,400,8.0,0.06425887099467217
se,2,6542,ses-2020-11-19-Run1,800,16.0,0.05833689421415329
se,2,6542,ses-2020-11-19-Run1,1600,32.0,0.052945902291685346
se,2,6542,ses-2020-11-19-Run1,3200,48.7,0.05574444867670536
se,2,6542,ses-2020-11-19-Run1,1000000000,48.7,0.05574444867670536
se,2,6542,ses-2020-11-24-Run1,200,4.0,-0.006372267752885819
se,2,6542,ses-2020-11-24-Run1,400,8.0,-0.008462054282426834
se,2,6542,ses-2020-11-24-Run1,800,16.0,0.008820939064025878
se,2,6542,ses-2020-11-24-Run1,1600,32.0,0.01765560656785965
se,2,6542,ses-2020-11-24-Run1,3200,35.4,0.018669021874666215
se,2,6542,ses-2020-11-24-Run1,1000000000,35.4,0.018669021874666215
se,2,6542,ses-2020-11-24-Run2,200,4.0,0.01201878972351551
se,2,6542,ses-2020-11-24-Run2,400,8.0,-0.017173538357019423
se,2,6542,ses-2020-11-24-Run2,800,16.0,0.00794411301612854
se,2,6542,ses-2020-11-24-Run2,1600,32.0,0.0007952798157930374
se,2,6542,ses-2020-11-24-Run2,3200,37.6,0.0033312495797872543
se,2,6542,ses-2020-11-24-Run2,1000000000,37.6,0.0033312495797872543
se,3,6542,ses-2020-10-30-Run1,200,4.0,0.4350744247436523
se,3,6542,ses-2020-10-30-Run1,400,8.0,0.43678819537162783
se,3,6542,ses-2020-10-30-Run1,800,16.0,0.43808711767196656
se,3,6542,ses-2020-10-30-Run1,1600,32.0,0.4368930637836456
se,3,6542,ses-2020-10-30-Run1,3200,43.6,0.4371692419052124
